AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,version
1,1,1,0,80,12,43,22,1834,40,113,9936,2067,9906,7269,1153,191,941,21,7309,11020,192,403,6714,165598,0,5937,146897,25219,0,740,22240,90539,4581,79337,47259,0,632,45364,83881,0,44969,20470,525,19945,24735,3014,21721,12470,12386,13489,10126,30,25,13,4,6,0.52,13108,13018,14130,10684,v0.15.0
1,1,1,0,79,12,44,21,1905,42,87,10268,2146,10230,7685,1189,230,938,21,7727,11424,198,403,7126,170009,0,6080,150919,25788,0,759,22755,94872,4687,83371,46766,0,650,44839,85687,1,47587,22257,542,21715,25575,3075,22500,13009,12928,14033,10630,30,25,13,4,6,0.49,13528,13441,14560,11058,v0.16.0
1,1,1,0,77,11,42,21,2483,42,130,12657,2788,12617,9596,1498,535,941,22,9638,13702,359,437,8842,215257,0,6231,193875,32970,0,781,29426,119308,4808,106286,60407,0,658,58213,150358,2,60729,28296,566,27730,32692,3123,29569,15650,15556,16708,12963,30,25,13,4,6,0.51,16442,16342,17512,13594,v0.17.0
1,1,1,0,77,11,42,22,2866,55,174,14866,3229,14818,11374,1809,855,930,24,11429,16196,496,527,10406,251059,495,6472,227226,38186,51,819,34239,137487,4970,123172,72311,3,699,69869,152573,1,69631,33039,571,32468,36854,3199,33655,18266,18143,19348,15301,30,25,13,4,6,0.53,18925,18798,20011,15876,v0.18.0
1,1,1,0,78,11,43,22,3101,66,188,16493,3497,16437,12448,2014,1062,928,24,12514,17716,544,580,11390,275775,495,6931,250485,41801,51,883,37550,150883,5309,135621,80018,3,755,77368,120731,1,76354,36361,607,35754,40276,3344,36932,19809,19684,20916,16736,30,25,13,4,6,0.53,20790,20656,21909,17573,v0.19.0
1,1,1,1,81,13,44,24,2670,54,147,17167,3070,14502,11328,1989,1506,455,28,11382,16068,711,441,10230,250805,495,2217,234347,40261,51,338,37043,136067,1649,125453,74019,3,230,71874,36564,1,70225,32572,247,32325,37801,795,37006,19072,19032,19393,17365,15,15,10,4,6,0.54,19772,19728,20109,17973,v1.0.0
0,0,0,0,77,11,42,23,2436,64,114,13089,2790,13056,10273,1722,1189,513,20,10337,14027,538,381,9418,217275,495,1475,203371,33091,51,219,30292,118452,1049,109829,65252,3,207,63275,47536,1,59233,29630,125,29505,29680,497,29183,14614,14571,14884,13121,25,25,7,4,6,0.55,15423,15371,15705,13828,v1.0.0-alpha.1
0,0,0,0,78,11,42,23,2400,48,110,13335,2777,13276,10122,1712,1190,498,24,10170,13991,579,386,9205,218669,495,1776,203824,33221,51,256,30295,118736,1292,109337,66231,3,228,64216,17339,1,59582,29846,156,29690,29830,599,29231,14585,14550,14862,13147,14,14,8,4,6,0.56,15687,15642,15969,14098,v1.0.0-beta.1
0,0,0,0,80,12,43,24,2630,54,145,14772,3028,14710,11391,1895,1404,463,28,11445,15571,669,400,10376,243978,495,2144,227653,37342,51,320,34148,132981,1594,122476,73194,3,230,71051,25496,1,67586,33033,235,32798,34695,768,33927,16346,16312,16662,14723,15,15,10,4,6,0.55,17349,17305,17677,15588,v1.0.0-beta.2
0,0,0,0,80,12,44,24,2640,54,144,14859,3039,14797,11598,1914,1426,460,28,11652,15959,685,407,10560,245439,495,2165,229082,37592,51,328,34390,133903,1607,123374,73483,3,230,71340,25814,1,68109,33197,241,32956,35055,769,34286,16663,16629,16991,14999,15,15,10,4,6,0.55,17461,17417,17796,15683,v1.0.0-beta.3
1,1,1,1,81,13,44,24,2670,44,144,17160,3070,14495,11225,1972,1490,454,28,11269,15623,695,434,10140,250678,495,2217,234220,40238,51,338,37020,135981,1649,125367,74001,3,230,71856,36357,1,70163,32556,247,32309,37755,795,36960,18879,18841,19204,17197,15,15,10,4,6,0.54,19763,19719,20097,17966,v1.0.0-rc.1
1,1,1,1,81,13,44,24,2670,53,186,17159,3070,14494,11346,1995,1500,467,28,11399,15913,714,430,10255,250756,495,2217,234298,40253,51,338,37035,136048,1649,125434,73997,3,230,71852,36557,1,70206,32553,247,32306,37801,795,37006,19062,19024,19392,17356,15,15,10,4,6,0.54,19764,19720,20101,17965,v1.0.0-rc.2
1,1,1,1,82,13,44,24,2681,54,146,17289,3081,14578,11344,1942,1478,432,32,11398,15973,723,399,10276,252911,495,2216,236440,40583,51,339,37362,136910,1647,126286,74960,3,230,72815,36664,1,70667,32728,247,32481,38087,792,37295,19117,19081,19452,17449,15,15,10,4,6,0.55,19901,19857,20242,18112,v1.0.1
1,1,1,1,79,13,44,21,2682,54,152,17338,3081,14618,11338,1944,1485,427,32,11392,15786,720,398,10274,245748,495,2213,229280,40703,51,339,37482,137338,1647,126714,67249,3,227,65107,36627,1,70947,32815,247,32568,38280,792,37488,19075,19039,19408,17421,15,15,10,4,6,0.49,19941,19897,20284,18157,v1.0.10
1,1,1,1,79,13,44,21,2682,43,144,17332,3081,14612,11379,1988,1524,432,32,11422,15919,703,413,10306,245702,495,2213,229234,40697,51,339,37476,137314,1647,126690,67233,3,227,65091,36635,1,70935,32811,247,32564,38272,792,37480,19092,19054,19426,17432,15,15,10,4,6,0.49,19935,19891,20279,18151,v1.0.11
