AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,version
2,2,2,1,265,23,171,63,3728,1952,4788,47861,4883,45567,23097,7575,2255,4432,888,25049,71602,630,3580,20839,1297878,3307,124596,895571,114221,459,24713,88762,835916,93530,507819,309655,29,6432,303191,26376027651,36,324080,55338,12745,42593,273906,90372,183534,119528,113466,138609,65042,333,274,301,8,12,0.37,119316,113254,138397,64830,2013.07.0
2,2,2,1,265,23,171,63,3729,1952,4788,47861,4884,45567,23098,7575,2255,4432,888,25050,71603,629,3582,20839,1297975,3341,124596,895628,114229,459,24713,88770,835948,93530,507851,309672,29,6432,303208,26376027655,36,324095,55339,12745,42594,273920,90372,183548,119532,113470,138614,65048,333,274,301,8,12,0.37,119320,113258,138402,64836,2013.07.1
2,2,2,1,224,35,127,46,1424,586,198,28332,2057,27975,7497,1758,1490,18,250,8083,19710,59,1769,6255,461952,4662,224892,203244,73698,735,37461,35290,261673,145053,115352,96034,37,43006,52988,1050946943,17,161943,23318,11104,12214,143449,92146,51303,63700,62278,77331,33635,115,58,40,4,12,0.37,63687,62265,77318,33622,2014.03.0
2,2,2,1,224,35,127,46,1424,586,198,28343,2057,27986,7501,1757,1489,18,250,8087,19724,59,1769,6259,461983,4626,224893,203300,73709,735,37461,35301,261695,145054,115372,96059,37,43006,53013,1050946961,17,161956,23329,11105,12224,143452,92147,51305,63714,62292,77345,33649,115,58,40,4,12,0.37,63701,62279,77332,33636,2014.03.1
2,2,2,1,224,35,127,46,1431,586,198,28450,2078,28079,7544,1761,1493,18,250,8130,19878,59,1792,6279,466821,4644,227293,205636,74307,733,37751,35611,265147,147026,116852,96743,37,43144,53559,1050948497,18,162702,23411,11133,12278,144142,92377,51765,63912,62490,77552,33765,115,58,40,4,12,0.36,63899,62477,77539,33752,2014.03.2
2,2,2,1,224,35,127,46,1435,588,200,28517,2084,28144,7584,1771,1503,18,250,8172,19984,59,1801,6312,468559,4638,227991,206682,74636,732,37849,35843,266379,147606,117504,96929,37,43164,53725,1050948718,18,163282,23476,11139,12337,144663,92543,52120,64078,62655,77739,33867,115,58,40,4,12,0.36,64065,62642,77726,33854,2014.03.3
2,2,2,1,225,35,124,51,1523,618,206,29097,2190,28709,8005,1864,1596,18,250,8623,21181,61,1897,6665,494102,5317,228673,230706,76976,780,37987,37997,272814,148032,123425,113003,37,43282,69681,1050977003,18,166788,24184,11169,13015,147481,92801,54680,65032,63610,78720,34527,115,58,40,4,12,0.41,65019,63597,78707,34514,2014.05.0
2,2,2,1,225,34,121,55,1606,638,212,29494,2283,29108,8543,1961,1693,18,250,9181,24343,64,2079,7038,514028,5450,226573,252493,79471,807,37702,40739,276922,146310,129178,126199,37,43184,82975,1050984809,18,169056,24850,11066,13784,149032,92010,57022,65605,64175,79262,34946,115,58,40,4,12,0.46,65592,64162,79249,34933,2014.07.0
2,2,2,1,222,33,114,58,1748,297,225,31498,2495,31082,9454,2214,1946,18,250,9751,27815,90,2412,7249,554418,7334,229745,283416,82561,982,38068,43389,286841,148706,137209,146913,105,43571,103237,1075765388,18,178768,26687,11910,14777,157258,97263,59995,69855,68011,85763,37234,115,58,40,4,12,0.51,69841,67997,85749,37220,2015.03.0
2,2,2,1,222,33,114,58,1748,297,225,31499,2495,31083,9455,2214,1946,18,250,9752,27816,90,2412,7250,554494,7354,229745,283460,82572,986,38068,43396,286863,148706,137231,146931,105,43571,103255,1075765389,18,178788,26688,11910,14778,157277,97263,60014,69858,68014,85766,37235,115,58,40,4,12,0.51,69844,68000,85752,37221,2015.03.1
2,2,2,1,222,33,114,58,1748,297,225,31503,2495,31087,9460,2215,1947,18,250,9757,27844,90,2417,7250,554632,7361,229748,283579,82592,987,38068,43415,286909,148712,137271,146989,105,43568,103316,1075765397,18,178812,26702,11918,14784,157287,97261,60026,69863,68019,85775,37239,115,58,40,4,12,0.51,69849,68005,85761,37225,2015.03.10
2,2,2,1,222,33,114,58,1748,297,225,31496,2495,31080,9454,2214,1946,18,250,9751,27815,90,2412,7249,554459,7354,229732,283438,82564,986,38065,43391,286841,148699,137216,146926,105,43568,103253,1075765384,18,178776,26687,11910,14777,157266,97259,60007,69854,68010,85762,37232,115,58,40,4,12,0.51,69840,67996,85748,37218,2015.03.2
2,2,2,1,222,33,114,58,1748,297,225,31496,2495,31080,9454,2214,1946,18,250,9751,27815,90,2412,7249,554467,7354,229732,283446,82564,986,38065,43391,286849,148699,137224,146927,105,43568,103254,1075765384,18,178779,26687,11910,14777,157269,97259,60010,69854,68010,85762,37232,115,58,40,4,12,0.51,69840,67996,85748,37218,2015.03.3
2,2,2,1,222,33,114,58,1748,297,225,31497,2495,31081,9454,2214,1946,18,250,9751,27815,90,2412,7249,554471,7354,229736,283446,82565,986,38066,43391,286852,148702,137224,146927,105,43568,103254,1075765385,18,178781,26687,11910,14777,157271,97261,60010,69855,68011,85763,37233,115,58,40,4,12,0.51,69841,67997,85749,37219,2015.03.4
2,2,2,1,222,33,114,58,1748,297,225,31497,2495,31081,9454,2214,1946,18,250,9751,27815,90,2412,7249,554471,7354,229736,283446,82565,986,38066,43391,286852,148702,137224,146927,105,43568,103254,1075765385,18,178781,26687,11910,14777,157271,97261,60010,69855,68011,85763,37233,115,58,40,4,12,0.51,69841,67997,85749,37219,2015.03.5
2,2,2,1,222,33,114,58,1748,297,225,31498,2495,31082,9455,2214,1946,18,250,9752,27816,90,2412,7250,554534,7361,229736,283504,82573,987,38066,43398,286874,148702,137246,146956,105,43568,103283,1075765385,18,178794,26688,11910,14778,157283,97261,60022,69856,68012,85764,37234,115,58,40,4,12,0.51,69842,67998,85750,37220,2015.03.6
2,2,2,1,222,33,114,58,1748,297,225,31500,2495,31084,9457,2216,1948,18,250,9754,27834,90,2413,7251,554593,7361,229736,283557,82586,987,38066,43411,286902,148702,137274,146968,105,43568,103295,1075765468,18,178813,26692,11910,14782,157298,97261,60037,69861,68017,85769,37236,115,58,40,4,12,0.51,69847,68003,85755,37222,2015.03.7
2,2,2,1,222,33,114,58,1748,297,225,31500,2495,31084,9457,2216,1948,18,250,9754,27834,90,2413,7251,554593,7361,229736,283557,82586,987,38066,43411,286902,148702,137274,146968,105,43568,103295,1075765468,18,178813,26692,11910,14782,157298,97261,60037,69861,68017,85769,37236,115,58,40,4,12,0.51,69847,68003,85755,37222,2015.03.8
2,2,2,1,222,33,114,58,1748,297,225,31500,2495,31084,9457,2216,1948,18,250,9754,27834,90,2413,7251,554584,7361,229748,283531,82582,987,38068,43405,286892,148712,137254,146968,105,43568,103295,1075765392,18,178807,26700,11918,14782,157284,97261,60023,69859,68015,85771,37236,115,58,40,4,12,0.51,69845,68001,85757,37222,2015.03.9
2,2,2,1,220,33,114,58,1814,304,234,31812,2556,31395,9751,2184,1916,18,250,10055,28746,89,2421,7545,564059,7604,229966,292479,84408,1040,38083,45162,292559,148777,142834,148750,107,43706,104936,1075766106,19,182379,27062,11926,15136,160500,97277,63223,70615,68609,86607,37614,115,58,40,4,12,0.51,70601,68595,86593,37600,2015.07.1
