version,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
1.0.0,2,2,3,1,767,111,434,127,30,1,1,20841,346,20617,76,18,12,6,0,77,104,0,22,55,265448,219,229725,2525,38547,16,38064,447,150305,148698,1503,44139,1,43563,575,75311702,10,104665,12073,11910,163,97769,97258,511,50100,49309,65253,24185,115,38,15,2,11,0.29,50111,49320,65264,24196
1.0.1,2,2,3,1,767,111,434,127,30,1,1,20841,346,20617,76,18,12,6,0,77,104,0,22,55,265448,219,229725,2525,38547,16,38064,447,150306,148698,1504,44138,1,43563,574,75311702,10,104666,12073,11910,163,97770,97258,512,50100,49309,65253,24185,115,38,15,2,11,0.29,50111,49320,65264,24196
1.0.2,2,2,3,1,767,111,434,127,30,1,1,20842,346,20618,76,18,12,6,0,77,104,0,22,55,265460,219,229729,2535,38548,16,38065,447,150319,148701,1514,44138,1,43563,574,75311703,10,104668,12073,11910,163,97772,97260,512,50101,49310,65254,24186,115,38,15,2,11,0.29,50112,49321,65265,24197
1.0.3,2,2,3,1,767,111,434,127,30,1,1,20842,346,20618,76,18,12,6,0,77,104,0,22,55,265463,219,229729,2538,38548,16,38065,447,150321,148701,1516,44139,1,43563,575,75311704,10,104668,12073,11910,163,97772,97260,512,50102,49311,65255,24186,115,38,15,2,11,0.29,50113,49322,65266,24197
1.0.4,2,2,3,1,767,111,434,127,30,1,1,20843,346,20619,77,18,12,6,0,78,105,0,23,55,265497,219,229729,2566,38552,16,38065,451,150340,148701,1535,44144,1,43563,580,75311708,10,104675,12074,11910,164,97778,97260,518,50106,49315,65261,24190,115,38,15,2,11,0.29,50117,49326,65272,24201
1.0.5,2,2,3,1,767,111,434,127,30,1,1,20843,346,20619,77,18,12,6,0,78,105,0,23,55,265514,219,229741,2566,38554,16,38067,451,150350,148711,1535,44144,1,43563,580,75311708,10,104683,12082,11918,164,97778,97260,518,50110,49319,65269,24190,115,38,15,2,11,0.29,50121,49330,65280,24201
1.0.6,2,2,3,1,767,111,434,127,30,1,1,20843,346,20619,77,18,12,6,0,78,105,0,23,55,265514,219,229741,2566,38554,16,38067,451,150350,148711,1535,44144,1,43563,580,75311708,10,104683,12082,11918,164,97778,97260,518,50110,49319,65269,24190,115,38,15,2,11,0.29,50121,49330,65280,24201
1.1.0,2,2,3,1,768,111,434,127,30,1,1,20844,346,20620,77,18,12,6,0,78,105,0,23,55,265782,219,229953,2576,38570,16,38080,454,150422,148772,1542,44282,1,43701,580,75311710,10,104705,12090,11926,164,97798,97272,526,50112,49321,65278,24191,115,38,15,2,11,0.29,50123,49332,65289,24202
1.1.1,2,2,3,1,768,111,434,127,30,1,1,20844,346,20620,77,18,12,6,0,78,105,0,23,55,265782,219,229953,2576,38570,16,38080,454,150422,148772,1542,44282,1,43701,580,75311710,10,104705,12090,11926,164,97798,97272,526,50112,49321,65278,24191,115,38,15,2,11,0.29,50123,49332,65289,24202
1.2.0,2,2,3,1,862,102,413,191,31,1,1,15562,211,15477,81,18,12,6,0,82,109,0,23,59,181993,219,146072,2656,21719,16,21227,465,87250,85590,1596,40419,1,39823,595,69493759,6,78265,9111,8940,171,72919,72370,549,37937,37423,50301,18190,44,38,15,2,11,0.46,37948,37434,50312,18201
