AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,version
0,0,0,0,86,11,32,42,309,2,2,1118,315,1118,559,183,6,177,0,561,1150,0,51,510,27360,0,0,27325,3604,0,0,3601,10216,0,10184,13540,0,0,13540,8199,1,5515,2962,0,2962,2553,0,2553,1151,1150,1188,949,19,19,11,4,4,1.33,1380,1379,1419,1171,v0.1.0
0,0,0,0,83,10,30,41,302,0,2,1073,317,1073,589,207,6,201,0,589,1168,0,57,532,26441,0,0,26091,3470,0,0,3440,9801,0,9481,13170,0,0,13170,3508,1,5121,2848,0,2848,2273,0,2273,1117,1116,1145,959,16,16,7,3,3,1.34,1269,1268,1297,1109,v0.1.1
0,0,0,0,83,10,30,42,536,1,18,1784,545,1789,1216,359,1,356,2,1217,3372,1,111,1105,45318,0,0,45318,5471,0,0,5471,16813,0,16813,23034,0,0,23034,1911,0,8092,4761,0,4761,3331,0,3331,1833,1832,1847,1686,8,8,7,2,4,1.37,1990,1985,2005,1828,v0.1.10
0,0,0,0,83,10,30,42,537,2,5,1791,546,1796,1136,328,1,325,2,1138,3217,1,119,1018,45525,0,0,45525,5497,0,0,5497,16909,0,16909,23119,0,0,23119,1883,0,8139,4776,0,4776,3363,0,3363,1764,1759,1779,1609,10,8,7,2,4,1.37,2000,1995,2015,1837,v0.1.10.1
0,0,0,0,83,10,30,42,537,2,5,1791,546,1796,1169,340,1,337,2,1171,3342,1,119,1051,45539,0,0,45539,5500,0,0,5500,16917,0,16917,23122,0,0,23122,1871,0,8143,4776,0,4776,3367,0,3367,1790,1789,1803,1642,8,8,7,3,4,1.37,2000,1995,2015,1837,v0.1.10.2
0,0,0,0,83,10,30,42,545,2,4,1841,554,1846,1138,332,1,330,1,1140,3039,2,112,1026,46313,0,0,46313,5602,0,0,5602,17055,0,17055,23656,0,0,23656,1854,0,8270,4872,0,4872,3398,0,3398,1776,1775,1788,1636,8,8,7,2,4,1.39,2046,2041,2062,1887,v0.1.11
0,0,0,0,84,10,30,42,574,0,4,1963,584,1970,1107,312,1,310,1,1107,3103,1,114,992,49117,0,0,49117,5948,0,0,5948,18092,0,18092,25077,0,0,25077,1911,0,8805,5176,0,5176,3629,0,3629,1793,1788,1810,1645,10,8,7,2,4,1.39,2180,2175,2198,2013,v0.1.12
0,0,0,0,84,10,31,42,575,0,20,1964,585,1971,1249,373,1,371,1,1249,3331,1,115,1133,49425,0,0,49425,5959,0,0,5959,18362,0,18362,25104,0,0,25104,2069,0,8816,5180,0,5180,3636,0,3636,1950,1945,1968,1792,10,8,7,3,4,1.37,2182,2177,2200,2014,v0.1.13
0,0,0,0,84,10,31,43,575,0,2,1976,585,1983,1117,309,1,307,1,1117,3106,1,114,1002,49679,0,0,49679,6016,0,0,6016,18467,0,18467,25196,0,0,25196,1936,0,8863,5202,0,5202,3661,0,3661,1817,1812,1834,1663,10,8,7,2,4,1.36,2200,2195,2218,2026,v0.1.14
0,0,0,0,85,10,31,43,575,2,16,1978,585,1985,1278,374,1,372,1,1280,3430,2,124,1154,49726,0,0,49726,6022,0,0,6022,18490,0,18490,25214,0,0,25214,2063,0,8874,5205,0,5205,3669,0,3669,1984,1983,2001,1828,8,8,7,3,4,1.36,2204,2199,2222,2028,v0.1.14.1
